sub,prediction via,number of runs,Pearson's r
sub-03,movie,6,0.8478290485032282
sub-04,movie,6,0.8609421676275847
sub-05,movie,6,0.7162791314233922
sub-06,movie,6,0.6373841684127137
sub-09,movie,6,0.8182898905848507
sub-14,movie,6,0.5652389129683836
sub-15,movie,6,0.8015163287394297
sub-16,movie,6,0.6926086016136939
sub-17,movie,6,0.8350558864612642
sub-18,movie,6,0.631144564701238
sub-19,movie,6,0.7148287250211913
sub-20,movie,6,0.581639813422044
sub-01,movie,7,0.8062455413061836
sub-02,movie,7,0.7914416458566625
sub-03,movie,7,0.8550886717894454
sub-04,movie,7,0.8688853014675236
sub-05,movie,7,0.7231854280466288
sub-06,movie,7,0.642433931909929
sub-09,movie,7,0.821870545175203
sub-14,movie,7,0.5699465680533536
sub-15,movie,7,0.804206617519433
sub-16,movie,7,0.6928186216856327
sub-17,movie,7,0.8396857174440279
sub-18,movie,7,0.6317608061060117
sub-19,movie,7,0.7180368311977056
sub-20,movie,7,0.574997163905758
sub-01,movie,8,0.8097268080475487
sub-02,movie,8,0.7929687548335383
sub-03,movie,8,0.859029125971889
sub-04,movie,8,0.8663092248394096
sub-05,movie,8,0.7313241729453867
sub-06,movie,8,0.6414724142846399
sub-09,movie,8,0.8164769379678014
sub-14,movie,8,0.5693676164738802
sub-15,movie,8,0.7985860064210526
sub-16,movie,8,0.6911396889475351
sub-17,movie,8,0.8379349929901212
sub-18,movie,8,0.632459654884834
sub-19,movie,8,0.7200291046749099
sub-20,movie,8,0.5810789858461127
sub-01,visual localizer,1,0.6423857367859813
sub-02,visual localizer,1,0.5450476312463554
sub-03,visual localizer,1,0.6130349046486124
sub-04,visual localizer,1,0.664892104816729
sub-05,visual localizer,1,0.27827455875343304
sub-06,visual localizer,1,0.5224525360860003
sub-09,visual localizer,1,0.7094538585063104
sub-14,visual localizer,1,0.36224964726834863
sub-15,visual localizer,1,0.618430264090592
sub-16,visual localizer,1,0.4172503378456626
sub-17,visual localizer,1,0.7697441035954681
sub-18,visual localizer,1,0.40874340821979377
sub-19,visual localizer,1,0.5607830194832597
sub-20,visual localizer,1,0.4119264338740543
sub-01,visual localizer,2,0.6411367974674965
sub-02,visual localizer,2,0.6000930006552488
sub-03,visual localizer,2,0.574772258993041
sub-04,visual localizer,2,0.6798739407903748
sub-05,visual localizer,2,0.3995228025265529
sub-06,visual localizer,2,0.4866197486697578
sub-09,visual localizer,2,0.6449119643041287
sub-14,visual localizer,2,0.4041470154169378
sub-15,visual localizer,2,0.6003390793312923
sub-16,visual localizer,2,0.4255375426150994
sub-17,visual localizer,2,0.7347850244622159
sub-18,visual localizer,2,0.47542062082256
sub-19,visual localizer,2,0.5579406609304893
sub-20,visual localizer,2,0.4788723208096506
sub-01,visual localizer,3,0.6581886914953601
sub-02,visual localizer,3,0.6895271767606339
sub-03,visual localizer,3,0.6319750531983984
sub-04,visual localizer,3,0.7062382800584021
sub-05,visual localizer,3,0.4614526832496587
sub-06,visual localizer,3,0.4401635872622713
sub-09,visual localizer,3,0.674029943378144
sub-14,visual localizer,3,0.4792476423696956
sub-15,visual localizer,3,0.6562746223118842
sub-16,visual localizer,3,0.5092681746731383
sub-17,visual localizer,3,0.7884533489442536
sub-18,visual localizer,3,0.5282251455198032
sub-19,visual localizer,3,0.5483798280791615
sub-20,visual localizer,3,0.5252674856087122
sub-01,visual localizer,4,0.6696081040913598
sub-02,visual localizer,4,0.6705855308488868
sub-03,visual localizer,4,0.6266783042224338
sub-04,visual localizer,4,0.7369917268965804
sub-05,visual localizer,4,0.4322053589029083
sub-06,visual localizer,4,0.4411480851051503
sub-09,visual localizer,4,0.6805769866309892
sub-14,visual localizer,4,0.42008297341370826
sub-15,visual localizer,4,0.6940954185021931
sub-16,visual localizer,4,0.555134855107085
sub-17,visual localizer,4,0.7770712554797803
sub-18,visual localizer,4,0.5123498704147823
sub-19,visual localizer,4,0.5269962442295287
sub-20,visual localizer,4,0.5345667793595188
sub-01,anatomical alignment,0,0.6239578133701515
sub-02,anatomical alignment,0,0.5823096960118112
sub-03,anatomical alignment,0,0.6479399830773764
sub-04,anatomical alignment,0,0.7181158232293385
sub-05,anatomical alignment,0,0.46322673457311514
sub-06,anatomical alignment,0,0.5236324532532224
sub-09,anatomical alignment,0,0.5817664947231316
sub-14,anatomical alignment,0,0.3550981606833751
sub-15,anatomical alignment,0,0.6693742815284981
sub-16,anatomical alignment,0,0.6257680758257599
sub-17,anatomical alignment,0,0.7241032702998194
sub-18,anatomical alignment,0,0.5885155300993394
sub-19,anatomical alignment,0,0.4851861630376045
sub-20,anatomical alignment,0,0.4016086797902876
