sub,prediction via,number of runs,Pearson's r
sub-05,visual localizer,3,0.888283450665412
sub-06,visual localizer,3,0.8609752117017151
sub-09,visual localizer,3,0.8585984678414208
sub-14,visual localizer,3,0.891929948055562
sub-15,visual localizer,3,0.8591562775195315
sub-16,visual localizer,3,0.8730742804045142
sub-17,visual localizer,3,0.8924385607604229
sub-18,visual localizer,3,0.7845346018745801
sub-19,visual localizer,3,0.846430284954223
sub-20,visual localizer,3,0.7671431065829709
sub-01,visual localizer,4,0.8446692600860606
sub-02,visual localizer,4,0.8912300220583602
sub-03,visual localizer,4,0.872162010917291
sub-04,visual localizer,4,0.8999301753698359
sub-05,visual localizer,4,0.9242039658160964
sub-06,visual localizer,4,0.8700575518501703
sub-09,visual localizer,4,0.8599438381903305
sub-14,visual localizer,4,0.9169284038887244
sub-15,visual localizer,4,0.8571086454028187
sub-16,visual localizer,4,0.8713880947409646
sub-17,visual localizer,4,0.9017745814358481
sub-18,visual localizer,4,0.8108824908737474
sub-19,visual localizer,4,0.87582254755355
sub-20,visual localizer,4,0.8593280705221672
sub-01,anatomical alignment,0,0.4984987783215386
sub-02,anatomical alignment,0,0.4988745779015759
sub-03,anatomical alignment,0,0.5356390172236936
sub-04,anatomical alignment,0,0.7028950435680955
sub-05,anatomical alignment,0,0.6630932790878055
sub-06,anatomical alignment,0,0.5345132114254662
sub-09,anatomical alignment,0,0.4924359958582007
sub-14,anatomical alignment,0,0.5416696229730491
sub-15,anatomical alignment,0,0.6456860128532262
sub-16,anatomical alignment,0,0.46728477076774066
sub-17,anatomical alignment,0,0.613871943177629
sub-18,anatomical alignment,0,0.5894206034178097
sub-19,anatomical alignment,0,0.6812064015685031
sub-20,anatomical alignment,0,0.5774591029837042
